"BehaviorSpace results (NetLogo 5.3)"
"Virus.nlogo"
"experiment"
"01/27/2016 11:08:48:370 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","duration","infectiousness","chance-recover","[step]","count turtles"
"4","10","25","0","53","130"
"1","10","10","0","81","136"
"3","10","10","0","78","138"
"4","10","25","0","54","130"
"1","10","10","0","82","136"
"2","10","10","0","7","149"
"3","10","10","0","79","138"
"4","10","25","0","55","130"
"1","10","10","0","83","136"
"3","10","10","0","80","138"
"4","10","25","0","56","130"
"1","10","10","0","84","136"
"3","10","10","0","81","138"
"4","10","25","0","57","130"
"1","10","10","0","85","136"
"3","10","10","0","82","138"
"4","10","25","0","58","130"
"1","10","10","0","86","136"
"3","10","10","0","83","138"
"2","10","10","0","8","149"
"4","10","25","0","59","130"
"1","10","10","0","87","136"
"3","10","10","0","84","138"
"4","10","25","0","60","130"
"1","10","10","0","88","136"
"3","10","10","0","85","138"
"4","10","25","0","61","130"
"3","10","10","0","86","138"
"4","10","25","0","62","130"
"3","10","10","0","87","138"
"4","10","25","0","63","130"
"2","10","10","0","9","149"
"1","10","10","0","89","136"
"3","10","10","0","88","138"
"4","10","25","0","64","130"
"3","10","10","0","89","138"
"1","10","10","0","90","136"
"4","10","25","0","65","130"
"3","10","10","0","90","137"
"1","10","10","0","91","136"
"4","10","25","0","66","130"
"3","10","10","0","91","137"
"1","10","10","0","92","136"
"4","10","25","0","67","130"
"3","10","10","0","92","137"
"1","10","10","0","93","136"
"4","10","25","0","68","130"
"3","10","10","0","93","137"
"4","10","25","0","69","130"
"3","10","10","0","94","137"
"4","10","25","0","70","130"
"2","10","10","0","10","149"
"3","10","10","0","95","136"
"1","10","10","0","94","136"
"4","10","25","0","71","130"
"3","10","10","0","96","136"
"1","10","10","0","95","136"
"4","10","25","0","72","130"
"3","10","10","0","97","136"
"4","10","25","0","73","130"
"1","10","10","0","96","136"
"3","10","10","0","98","136"
"4","10","25","0","74","130"
"1","10","10","0","97","136"
"3","10","10","0","99","136"
"4","10","25","0","75","130"
"1","10","10","0","98","136"
"3","10","10","0","100","136"
"4","10","25","0","76","129"
"3","10","10","0","101","136"
"4","10","25","0","77","129"
"1","10","10","0","99","136"
"4","10","25","0","78","129"
"1","10","10","0","100","136"
"3","10","10","0","102","136"
"1","10","10","0","101","136"
"3","10","10","0","103","136"
"4","10","25","0","79","129"
"1","10","10","0","102","136"
"3","10","10","0","104","136"
"4","10","25","0","80","129"
"1","10","10","0","103","136"
"3","10","10","0","105","136"
"4","10","25","0","81","129"
"3","10","10","0","106","136"
"1","10","10","0","104","135"
"4","10","25","0","82","129"
"3","10","10","0","107","135"
"1","10","10","0","105","135"
"4","10","25","0","83","129"
"3","10","10","0","108","135"
"1","10","10","0","106","135"
"3","10","10","0","109","135"
"4","10","25","0","84","129"
"1","10","10","0","107","135"
"3","10","10","0","110","135"
"4","10","25","0","85","129"
"1","10","10","0","108","135"
"4","10","25","0","86","129"
"2","10","10","0","11","139"
"3","10","10","0","111","135"
"4","10","25","0","87","129"
"1","10","10","0","109","135"
"4","10","25","0","88","129"
"1","10","10","0","110","135"
"3","10","10","0","112","135"
"4","10","25","0","89","129"
"2","10","10","0","12","139"
"1","10","10","0","111","135"
"3","10","10","0","113","135"
"4","10","25","0","90","129"
"1","10","10","0","112","135"
"3","10","10","0","114","135"
"4","10","25","0","91","129"
"1","10","10","0","113","135"
"3","10","10","0","115","135"
"4","10","25","0","92","129"
"1","10","10","0","114","135"
"4","10","25","0","93","129"
"3","10","10","0","116","135"
"1","10","10","0","115","135"
"4","10","25","0","94","129"
"3","10","10","0","117","135"
"1","10","10","0","116","135"
