"BehaviorSpace results (NetLogo 5.3)"
"Fire_behaviour_space_edit.nlogo"
"experiment_density"
"01/27/2016 10:26:25:789 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63"
"density","0","0","0","5","5","5","10","10","10","15","15","15","20","20","20","25","25","25","30","30","30","35","35","35","40","40","40","45","45","45","50","50","50","55","55","55","60","60","60","65","65","65","70","70","70","75","75","75","80","80","80","85","85","85","90","90","90","95","95","95","100","100","100"
"[reporter]","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned","percent-burned"
,"<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.36180588327827595","0.37729916679767334","0.36490560050769477","0.3504300732717426","0.39631533847472156","0.3054239073196419","0.385432234720365","0.4227823867262285","0.39541320680110714","0.41113219481340924","0.37665985699693566","0.4238896621536125","0.38426642472114","0.3926354326948586","0.37333333333333335","0.37200018146350317","0.4481057348481419","0.42320819112627983","0.4048743698646449","0.39996831934104227","0.390749601275917","0.41530285432724456","0.3751681177886317","0.38805226245149343","0.4396444614355347","0.3838526006013691","0.42721418096027547","0.361052540365674","0.37934729099701736","0.37775022347818565","0.3660380361263627","0.4401898650261197","0.4078477368449112","0.40290088638195","0.36441533499125894","0.38848319441371004","0.40815395840933966","0.3866008687148932","0.4176461190861994","0.41542394546229233","0.4125728382459275","0.3680146354953307","0.40576827449030334","0.42249591454422253","0.37091692258604875","0.3956274726717042","0.4136872449552619","0.4042143084379736","0.40806953080836633","0.40516631280962495","0.40229681352567964","0.39751761153975174","0.400939439691327","0.39882697947214074","0.4","0.4","0.4"
,"<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.39326726443290855","0.3930199654142431","0.41250198318261144","0.40352553891897636","0.43916023993144815","0.3264876250658241","0.464091874459215","0.4786215698787492","0.48240411229735075","0.5249841872232764","0.4851889683350358","0.5377704669112995","0.51235523296152","0.4881413487557702","0.464","0.5080978088281994","0.5884216720228127","0.5915813424345847","0.5358631365855595","0.5702518612387137","0.5861244019138756","0.5736810614859396","0.5627521766829475","0.5304567624336929","0.6722100098760713","0.5629838142153413","0.6376331059108589","0.5719072239392277","0.5791561694610952","0.5392312350413795","0.5861913477096099","0.7345336904351516","0.6450924988004478","0.6837105950724001","0.6254155073498633","0.6614049322613164","0.6954578620941262","0.6526732313010256","0.7257457151333957","0.7158074137196422","0.7039258219556803","0.6317939118041226","0.7200397812033814","0.7413607557096736","0.6700434730586686","0.7331295820598879","0.7674740743513908","0.7485450156258772","0.7931741096664783","0.7607926397735315","0.770921206535994","0.7749077490774908","0.7901358832410669","0.7725178047758693","0.8","0.8","0.8"
,"<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.408997955010225","0.3930199654142431","0.44423290496588924","0.41414463204842306","0.43916023993144815","0.3580832016850974","0.479823802406985","0.5105296745373326","0.5061289047054172","0.6135357368753953","0.5426455566905005","0.6263444261672783","0.6030848054651224","0.5571178436886507","0.544","0.6215124982987796","0.6698954419952021","0.7098976109215017","0.6311276942007701","0.7088547441786789","0.7057416267942583","0.6968641114982579","0.718482338783889","0.6906618249136673","0.8474306285641466","0.7165248544558889","0.8416756998023337","0.7943155888044829","0.7644861436886456","0.709363015081173","0.8275642555900374","1.0103152926201904","0.8876686037212774","0.9718457744243401","0.9011892743702756","0.9367854245039463","0.9690806275082087","0.9505833124872082","0.9790720496610904","1.018321261184491","1.0080387903534516","0.9189729626241783","1.0064644455494778","1.0582326916178406","0.9931001475690984","1.0556315976974855","1.117517127775074","1.0891329977356514","1.1694460146975691","1.1111111111111112","1.1572679261333427","1.1623616236162362","1.1826874685455462","1.1545873481357354","1.2","1.2","1.2"
,"<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.408997955010225","0.3930199654142431","0.46009836585752817","0.41414463204842306","0.43916023993144815","0.3580832016850974","0.5034216943286399","0.5185067007019784","0.5061289047054172","0.6514864010120177","0.5873340143003064","0.6579779830444136","0.6457810748785825","0.6101766859447127","0.592","0.7485369505058295","0.733263929751505","0.782707622298066","0.6906680427102766","0.8276572152700776","0.8133971291866028","0.7918910357934749","0.8352799603595951","0.8045854248994267","0.9876071235146069","0.8668671230247584","1.0425301281642543","0.9878397504404841","0.9556076796108071","0.8708440266443669","1.0609798148590224","1.2542759407069555","1.0849282934371167","1.2306790711303202","1.1745007756137198","1.2097071623515527","1.2518241517694273","1.2553157619448296","1.2323983841887851","1.3527907967618236","1.3142784228658926","1.197643004531047","1.2889109895574342","1.3990194906134161","1.2962150520480198","1.389383683648023","1.467560181198757","1.4222355296891667","1.5474844544940645","1.459660297239915","1.5241200864849538","1.5447836296544784","1.5702063412179164","1.5450356095517386","1.6","1.6","1.6"
,"<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.408997955010225","0.3930199654142431","0.47596382674916704","0.41414463204842306","0.43916023993144815","0.3580832016850974","0.5034216943286399","0.5185067007019784","0.5061289047054172","0.6704617330803289","0.6128702757916241","0.6832848285461217","0.6564551422319475","0.647317875523956","0.6133333333333334","0.825658939345824","0.7649481736296564","0.8691695108077361","0.7343309649505815","0.8989386979249168","0.8612440191387559","0.8763594129447789","0.9308416507397184","0.8829078998896366","1.0799961770046833","0.9724265881901349","1.201938404641969","1.155368129170157","1.1206671879072192","1.023674269730961","1.2758282273679744","1.4823261117445838","1.2875193261182492","1.4480013674211902","1.4108782902026444","1.4703351282240418","1.5072053994892376","1.5464034748595727","1.4697491841066253","1.6553046442266726","1.6205180553783334","1.4699312897530261","1.5594231725509697","1.7298417633225716","1.601324133530092","1.7343858399114995","1.8250907865673318","1.7815371371895878","1.9308224985867724","1.8170559094125973","1.883883316201751","1.918819188191882","1.9577252138902868","1.9304566401340595","2","2","2"
,"<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.408997955010225","0.3930199654142431","0.4918292876408059","0.41414463204842306","0.43916023993144815","0.3580832016850974","0.5034216943286399","0.5185067007019784","0.5061289047054172","0.6704617330803289","0.6192543411644535","0.6959382512969758","0.6617921759086299","0.6579296439751685","0.624","0.8528784648187633","0.7785271352917214","0.9010238907849829","0.7422696780851824","0.9583399334706162","0.8891547049441787","0.9537887586668076","1.0193246973879804","0.9541101498807362","1.1564560833412978","1.0651909666687993","1.3071478671172607","1.2911238843476502","1.2799351345090204","1.2197583552005535","1.43232275005968","1.707724536607356","1.4794476728687955","1.68241642858887","1.6275576785758255","1.7285043397015074","1.776267785479752","1.8170240829599984","1.7093822032544448","1.9769919045590116","1.899111054400068","1.7549830883447852","1.859771258080557","2.0467136992307386","1.9323575160531248","2.079387996174976","2.188237055894575","2.112768306604038","2.2982617297908425","2.1903750884642603","2.256052174529472","2.2978866152297885","2.345244086562657","2.324256388772518","2.4","2.4","2.4"
,"<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.408997955010225","0.3930199654142431","0.4918292876408059","0.41414463204842306","0.43916023993144815","0.3580832016850974","0.5034216943286399","0.5185067007019784","0.5061289047054172","0.6704617330803289","0.6192543411644535","0.7022649626724029","0.672466243261995","0.6632355282007747","0.6346666666666666","0.8846345778705258","0.7875797763997647","0.9237770193401593","0.7541777477870837","1.0019008395374622","0.901116427432217","1.0065814943863725","1.083032490974729","1.0288725123713909","1.2297301602472204","1.138762715117395","1.4251099917107697","1.4413217411397707","1.447890423652738","1.3812393667637475","1.5914697222885335","1.9649439155684019","1.6793730340672817","1.93148243107953","1.8590106616108142","1.9645447616237612","2.031649033199562","2.0762740772746913","1.9467330031722847","2.285896889646357","2.2308706562885456","2.0676891659044014","2.2018896071606164","2.3556140141097694","2.259402544569856","2.426265164157276","2.562614653139156","2.470198551565395","2.644502543810062","2.5583864118895967","2.651260057420338","2.6819859107681987","2.7377956718671363","2.7163803937997484","2.8000000000000003","2.8000000000000003","2.8000000000000003"
,"<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.408997955010225","0.3930199654142431","0.4918292876408059","0.41414463204842306","0.43916023993144815","0.3580832016850974","0.5034216943286399","0.5185067007019784","0.5061289047054172","0.6704617330803289","0.6192543411644535","0.714918385423257","0.68314031061536","0.6632355282007747","0.64","0.9073175157646418","0.7966324175078079","0.9465301478953356","0.7621164609216846","1.025661333755742","0.9090909090909091","1.0382571358181114","1.1325829970977561","1.0893944248638257","1.27114594284622","1.221930778581025","1.546260281833833","1.5713006556714135","1.6042625894072338","1.551371146803541","1.7585740431288295","2.2274667868791598","1.860638694887242","2.18299025712402","2.0830768473148993","2.222713973101227","2.2961510397665084","2.37645828121802","2.179519364630166","2.558585428206221","2.541363617030326","2.405922270203578","2.524117354549975","2.696400813105345","2.618354405137","2.7825173907336924","2.9444798023286287","2.8444710593783333","3.001342566421707","2.9175513092710545","3.0429234749937972","3.0627306273062733","3.1337023989263546","3.096774193548387","3.2","3.2","3.2"
,"<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.408997955010225","0.3930199654142431","0.4918292876408059","0.41414463204842306","0.43916023993144815","0.3580832016850974","0.5034216943286399","0.5185067007019784","0.5061289047054172","0.6704617330803289","0.6192543411644535","0.714918385423257","0.6938143779687249","0.6632355282007747","0.6453333333333333","0.9390736288164043","0.8011587380618296","0.9692832764505119","0.7700551740562855","1.037541580864882","0.9250398724082934","1.0699327772498504","1.1715155376229915","1.1534764498558154","1.3316767020293734","1.2923037553579426","1.6323407511317987","1.7070564108489068","1.7664263168563403","1.6984342109057353","1.9124161162833875","2.4608204502665005","2.0419043557072025","2.4418235538300004","2.307143033018984","2.468589412603575","2.553812477198103","2.692561344461374","2.400894629938152","2.837665104388581","2.8518565777721068","2.7207555999914907","2.8403779214321236","3.0351947068436367","2.9513819646631836","3.1256445352783455","3.30013851971098","3.2243576548084656","3.3670152628603733","3.2961783439490446","3.425725729273739","3.446829922844683","3.5228988424760943","3.482195224130708","3.5999999999999996","3.5999999999999996","3.5999999999999996"
,"<EngineException>","<EngineException>","<EngineException>","0.30864197530864196","0.34987277353689566","0.31645569620253167","0.408997955010225","0.3930199654142431","0.4918292876408059","0.41414463204842306","0.43916023993144815","0.3580832016850974","0.5034216943286399","0.5185067007019784","0.5061289047054172","0.6704617330803289","0.6192543411644535","0.714918385423257","0.6991514116454075","0.6632355282007747","0.6453333333333333","0.9617565667105205","0.8011587380618296","0.9874857792946531","0.7779938871908864","1.0573419927134484","0.9330143540669857","1.0945693872523141","1.1962907906845048","1.2139983623482502","1.3858358023511421","1.3658755038065382","1.7088567238411019","1.834146905057624","1.9025280166796978","1.83396291703913","2.0450385931407653","2.670308398080136","2.2311670309751026","2.6737967914438503","2.521360155615197","2.7070885889208527","2.8251550529004015","2.9950196711618493","2.6336809913960333","3.1039625053259483","3.14533622559653","3.035588929779404","3.150671307807061","3.373988600581929","3.2864037011925182","3.4631466446665295","3.6539253491071095","3.5986301626214043","3.7273883550028266","3.678343949044586","3.812072448871088","3.82589734988259","3.913772856903204","3.8575617930456643","4","4","4"
